Arıza Detayı,stemmed_text
Exhaust gas recirculation temperature sensor has Open circuit.,exhaust ga recircul temperatur sensor open circuit
Exhaust gas recirculation temperature sensor has Short circuit.,exhaust ga recircul temperatur sensor short circuit
Exhaust gas recirculation temperature is outside the specified value range.,exhaust ga recircul temperatur outsid specifi valu rang
"Air humidity sensor has Short circuit to positive, Open circuit.",air humid sensor short circuit posit open circuit
Air humidity sensor has Short circuit to ground.,air humid sensor short circuit ground
"Air temperature sensor has Short circuit to positive,Open circuit.",air temperatur sensor short circuit positiveopen circuit
Air temperature sensor has Short circuit to ground.,air temperatur sensor short circuit ground
CAN message 'Air temperature' is missing.,messag air temperatur miss
Measurement value from ambient air temperature sensor is implausible.,measur valu ambient air temperatur sensor implaus
The SCR compressed air switching valve has Short circuit to ground.,scr compress air switch valv short circuit ground
The SCR compressed air switching valve has Short circuit to positive.,scr compress air switch valv short circuit posit
The SCR compressed air switching valve has Open circuit.,scr compress air switch valv open circuit
Measured values of temperature sensors at catalytic converter are implausible.,measur valu temperatur sensor catalyt convert implaus
AdBlue pump has Short circuit to ground.,adblu pump short circuit ground
AdBlue pump has Short circuit to positive.,adblu pump short circuit posit
AdBlue pump has Open circuit.,adblu pump open circuit
Internal fault in control unit,intern fault control unit
Internal fault in control unit,intern fault control unit
Internal fault in control unit,intern fault control unit
Internal fault in control unit,intern fault control unit
Internal fault in control unit,intern fault control unit
Internal fault in control unit,intern fault control unit
Starter actuation (output stage) faulty,starter actuat output stage faulti
Internal fault in control unit,intern fault control unit
Internal fault in control unit,intern fault control unit
Internal fault in control unit,intern fault control unit
Internal fault in control unit,intern fault control unit
Invalid parameterization for proportioning valves,invalid parameter proport valv
Internal fault in control unit,intern fault control unit
Internal fault in control unit,intern fault control unit
Internal fault in control unit,intern fault control unit
Internal fault in control unit,intern fault control unit
Internal fault in control unit,intern fault control unit
Internal fault in control unit,intern fault control unit
The data record in control module MR engine control has been manipulated.,data record control modul mr engin control manipul
Internal fault in control unit,intern fault control unit
Engine brake is incorrectly parameterized.,engin brake incorrectli parameter
Proportioning valve 5 has Short circuit to positive.,proport valv short circuit posit
Proportioning valve 5 has Short circuit to ground.,proport valv short circuit ground
Proportioning valve 7 has Short circuit to ground.,proport valv short circuit ground
Proportioning valve 7 has Open circuit.,proport valv open circuit
Proportioning valve 7 has Short circuit to positive.,proport valv short circuit posit
"The position sensor of the throttle valve has Short circuit to positive,Open circuit.",posit sensor throttl valv short circuit positiveopen circuit
The position sensor of the throttle valve has Short circuit to ground.,posit sensor throttl valv short circuit ground
"The temperature sensor upstream of the diesel oxidation catalytic converter has Short circuit to positive,Open circuit.",temperatur sensor upstream diesel oxid catalyt convert short circuit positiveopen circuit
The temperature sensor upstream of the diesel oxidation catalytic converter has Short circuit to ground.,temperatur sensor upstream diesel oxid catalyt convert short circuit ground
"The temperature sensor downstream of the diesel oxidation catalytic converter has Short circuit to positive,Open circuit.",temperatur sensor downstream diesel oxid catalyt convert short circuit positiveopen circuit
The temperature sensor downstream of the diesel oxidation catalytic converter has Short circuit to ground.,temperatur sensor downstream diesel oxid catalyt convert short circuit ground
"The differential pressure sensor upstream of the diesel particulate filter has Short circuit to positive,Open circuit.",differenti pressur sensor upstream diesel particul filter short circuit positiveopen circuit
The differential pressure sensor upstream of the diesel particulate filter has Short circuit to ground.,differenti pressur sensor upstream diesel particul filter short circuit ground
"The differential pressure sensor downstream of the diesel particulate filter has Short circuit to positive,Open circuit.",differenti pressur sensor downstream diesel particul filter short circuit positiveopen circuit
The differential pressure sensor downstream of the diesel particulate filter has Short circuit to ground.,differenti pressur sensor downstream diesel particul filter short circuit ground
The pressure differential in the diesel particulate filter is too high.,pressur differenti diesel particul filter high
The control deviation of the throttle valve is too high.,control deviat throttl valv high
The throttle valve reference cycle failed.,throttl valv refer cycl fail
The diffusor in the AdBlue metering unit is clogged.,diffusor adblu meter unit clog
The diffusor heater has Open circuit.,diffusor heater open circuit
The diffusor heater has Short circuit to ground.,diffusor heater short circuit ground
The diffusor heater has Short circuit to positive.,diffusor heater short circuit posit
Internal fault in control unit,intern fault control unit
The proportioning valve bank 1 has Short circuit to positive.,proport valv bank short circuit posit
The proportioning valve bank 1 has Short circuit to ground.,proport valv bank short circuit ground
Internal control module error,intern control modul error
No SCRT® system is installed.,scrt system instal
The measurement value(s) from the SCRT® temperature sensors (pair A) is/are implausible.,measur valu scrt temperatur sensor pair isar implaus
The measurement value(s) from the SCRT® temperature sensors (pair B) is/are implausible.,measur valu scrt temperatur sensor pair b isar implaus
No diesel particulate filter is installed.,diesel particul filter instal
The measurement value of the differential pressure sensor upstream of the diesel particulate filter is implausible.,measur valu differenti pressur sensor upstream diesel particul filter implaus
