Arıza Detayı,lemmatized_text
Exhaust gas recirculation temperature sensor has Open circuit.,exhaust gas recirculation temperature sensor open circuit
Exhaust gas recirculation temperature sensor has Short circuit.,exhaust gas recirculation temperature sensor short circuit
Exhaust gas recirculation temperature is outside the specified value range.,exhaust gas recirculation temperature outside specified value range
"Air humidity sensor has Short circuit to positive, Open circuit.",air humidity sensor short circuit positive open circuit
Air humidity sensor has Short circuit to ground.,air humidity sensor short circuit ground
"Air temperature sensor has Short circuit to positive,Open circuit.",air temperature sensor short circuit positiveopen circuit
Air temperature sensor has Short circuit to ground.,air temperature sensor short circuit ground
CAN message 'Air temperature' is missing.,message air temperature missing
Measurement value from ambient air temperature sensor is implausible.,measurement value ambient air temperature sensor implausible
The SCR compressed air switching valve has Short circuit to ground.,scr compressed air switching valve short circuit ground
The SCR compressed air switching valve has Short circuit to positive.,scr compressed air switching valve short circuit positive
The SCR compressed air switching valve has Open circuit.,scr compressed air switching valve open circuit
Measured values of temperature sensors at catalytic converter are implausible.,measured value temperature sensor catalytic converter implausible
AdBlue pump has Short circuit to ground.,adblue pump short circuit ground
AdBlue pump has Short circuit to positive.,adblue pump short circuit positive
AdBlue pump has Open circuit.,adblue pump open circuit
Internal fault in control unit,internal fault control unit
Internal fault in control unit,internal fault control unit
Internal fault in control unit,internal fault control unit
Internal fault in control unit,internal fault control unit
Internal fault in control unit,internal fault control unit
Internal fault in control unit,internal fault control unit
Starter actuation (output stage) faulty,starter actuation output stage faulty
Internal fault in control unit,internal fault control unit
Internal fault in control unit,internal fault control unit
Internal fault in control unit,internal fault control unit
Internal fault in control unit,internal fault control unit
Invalid parameterization for proportioning valves,invalid parameterization proportioning valve
Internal fault in control unit,internal fault control unit
Internal fault in control unit,internal fault control unit
Internal fault in control unit,internal fault control unit
Internal fault in control unit,internal fault control unit
Internal fault in control unit,internal fault control unit
Internal fault in control unit,internal fault control unit
The data record in control module MR engine control has been manipulated.,data record control module mr engine control manipulated
Internal fault in control unit,internal fault control unit
Engine brake is incorrectly parameterized.,engine brake incorrectly parameterized
Proportioning valve 5 has Short circuit to positive.,proportioning valve short circuit positive
Proportioning valve 5 has Short circuit to ground.,proportioning valve short circuit ground
Proportioning valve 7 has Short circuit to ground.,proportioning valve short circuit ground
Proportioning valve 7 has Open circuit.,proportioning valve open circuit
Proportioning valve 7 has Short circuit to positive.,proportioning valve short circuit positive
"The position sensor of the throttle valve has Short circuit to positive,Open circuit.",position sensor throttle valve short circuit positiveopen circuit
The position sensor of the throttle valve has Short circuit to ground.,position sensor throttle valve short circuit ground
"The temperature sensor upstream of the diesel oxidation catalytic converter has Short circuit to positive,Open circuit.",temperature sensor upstream diesel oxidation catalytic converter short circuit positiveopen circuit
The temperature sensor upstream of the diesel oxidation catalytic converter has Short circuit to ground.,temperature sensor upstream diesel oxidation catalytic converter short circuit ground
"The temperature sensor downstream of the diesel oxidation catalytic converter has Short circuit to positive,Open circuit.",temperature sensor downstream diesel oxidation catalytic converter short circuit positiveopen circuit
The temperature sensor downstream of the diesel oxidation catalytic converter has Short circuit to ground.,temperature sensor downstream diesel oxidation catalytic converter short circuit ground
